"","col"
"Adriano de Souza",13
"Mick Fanning",13
"Gabriel Medina",5
"Filipe Toledo",1
"Owen Wright",25
"Julian Wilson",25
"Italo Ferreira",2
"Jeremy Flores",5
"Kelly Slater",13
"Nat Young",9
"Josh Kerr",13
"Bede Durbidge",13
"Joel Parkinson",5
"John John Florence",13
"Wiggolly Dantas",25
"Kai Otton",25
"Matt Wilkinson",13
"Adrian Buchan",25
"Keanu Asing",9
"Michel Bourez",9
"Jadson Andre",25
"Adam Melling",25
"C.J. Hobgood",13
"Kolohe Andino",9
"Sebastian Zietz",13
"Miguel Pupo",25
"Brett Simpson",3
"Glenn Hall",25
"Ricardo Christie",13
"Mason Ho",13
"Vasco Ribeiro",3
"Aritz Aranburu",25
"Frederico Morais",5
"Tomas Hermes",25
"Caio Ibelli",13
"Tiago Pires",25
