"","col"
"Adriano de Souza",1
"Mick Fanning",3
"Gabriel Medina",2
"Filipe Toledo",13
"Julian Wilson",13
"Italo Ferreira",13
"Jeremy Flores",9
"Kelly Slater",5
"Nat Young",25
"Josh Kerr",5
"Bede Durbidge",13
"Joel Parkinson",9
"John John Florence",9
"Wiggolly Dantas",25
"Taj Burrow",13
"Kai Otton",13
"Matt Wilkinson",25
"Adrian Buchan",13
"Keanu Asing",9
"Michel Bourez",13
"Jadson Andre",25
"Adam Melling",5
"C.J. Hobgood",5
"Kolohe Andino",25
"Sebastian Zietz",13
"Miguel Pupo",25
"Jordy Smith",13
"Brett Simpson",25
"Glenn Hall",13
"Ricardo Christie",25
"Mason Ho",3
"Dusty Payne",25
"Jamie O'Brien",13
"Jack Robinson",25
"Bruce Irons",25
"Wade Carmichael",25
