"","col"
"Adriano de Souza",13
"Mick Fanning",13
"Gabriel Medina",2
"Filipe Toledo",9
"Owen Wright",3
"Julian Wilson",13
"Italo Ferreira",5
"Jeremy Flores",1
"Kelly Slater",5
"Nat Young",25
"Josh Kerr",5
"Bede Durbidge",13
"Joel Parkinson",13
"John John Florence",13
"Wiggolly Dantas",9
"Taj Burrow",25
"Kai Otton",5
"Matt Wilkinson",13
"Adrian Buchan",13
"Keanu Asing",25
"Michel Bourez",25
"Jadson Andre",13
"Adam Melling",25
"C.J. Hobgood",3
"Kolohe Andino",25
"Sebastian Zietz",13
"Miguel Pupo",25
"Brett Simpson",13
"Glenn Hall",25
"Ricardo Christie",25
"Freddy Patacchia Jr.",25
"Dusty Payne",13
"Aritz Aranburu",9
"Bruno Santos",9
"Garrett Parkes",25
"Taumata Puhetini",25
