"","col"
"John John Florence",5
"Jordy Smith",25
"Gabriel Medina",13
"Kolohe Andino",2
"Matt Wilkinson",1
"Michel Bourez",13
"Kelly Slater",25
"Julian Wilson",25
"Joel Parkinson",5
"Filipe Toledo",3
"Adriano de Souza",5
"Sebastian Zietz",9
"Josh Kerr",13
"Adrian Buchan",5
"Italo Ferreira",13
"Caio Ibelli",9
"Mick Fanning",13
"Conner Coffin",9
"Stuart Kennedy",3
"Kanoa Igarashi",9
"Wiggolly Dantas",13
"Miguel Pupo",25
"Nat Young",13
"Keanu Asing",25
"Jeremy Flores",13
"Jadson Andre",13
"Kai Otton",25
"Matt Banting",25
"Davey Cathels",25
"Jack Freestone",25
"Adam Melling",25
"Ryan Callinan",13
"Alex Ribeiro",25
"Taj Burrow",13
"Mikey Wright",13
"Wade Carmichael",25
