"","GoldCoast","BellsBeach","MargaretRiver","Rio","Fiji","Jbay","Tahiti","Trestles","France","Portugal","Pipeline"
"John John Florence","5","13","13","1","5","2","2","13","3","1","5"
"Jordy Smith","25","2","9","13","13","5","9","1","25","3","5"
"Gabriel Medina","13","13","9","3","1","5","3","13","2","13","13"
"Kolohe Andino","2","25","5","25","25","13","5","9","3","3","3"
"Matt Wilkinson","1","1","9","25","2","13","13","25","13","25","13"
"Michel Bourez","13","5","13","9","9","9","25","9","25","9","1"
"Kelly Slater","25","13","25","NA","3","5","1","5","25","13","3"
"Julian Wilson","25","9","2","25","25","3","5","25","5","5","13"
"Joel Parkinson","5","13","3","NA","NA","13","9","2","25","9","9"
"Filipe Toledo","3","NA","NA","9","13","5","25","3","5","13","9"
"Adriano de Souza","5","13","13","3","5","9","25","25","9","5","13"
"Sebastian Zietz","9","13","1","13","25","13","13","25","9","5","13"
"Josh Kerr","13","25","13","25","9","3","5","9","25","13","5"
"Adrian Buchan","5","13","9","25","3","13","3","13","13","25","25"
"Italo Ferreira","13","3","3","9","13","13","13","13","13","13","13"
"Caio Ibelli","9","9","5","9","25","13","25","13","9","13","25"
"Mick Fanning","13","3","NA","NA","5","1","NA","13","NA","NA","NA"
"Conner Coffin","9","5","25","25","13","25","25","13","13","2","13"
"Stuart Kennedy","3","13","25","13","25","25","25","5","9","9","25"
"Kanoa Igarashi","9","13","13","13","13","13","13","13","13","13","2"
"Wiggolly Dantas","13","5","13","25","5","9","25","13","25","13","13"
"Miguel Pupo","25","13","13","5","13","13","25","13","13","5","13"
"Nat Young","13","5","5","13","25","25","13","25","13","25","9"
"Keanu Asing","25","25","25","25","13","25","9","25","1","25","25"
"Jeremy Flores","13","25","13","25","13","25","13","25","25","9","5"
"Jadson Andre","13","25","NA","25","9","25","9","9","25","13","25"
"Dusty Payne","NA","13","25","5","9","13","13","NA","25","25","NA"
"Kai Otton","25","13","25","NA","25","25","13","13","5","13","13"
"Matt Banting","25","25","13","13","13","25","13","25","5","13","NA"
"Davey Cathels","25","9","25","5","25","13","25","25","13","25","25"
"Jack Freestone","25","NA","NA","2","25","25","25","13","13","25","25"
"Alejo Muniz","NA","NA","13","13","13","9","13","25","13","25","NA"
"Adam Melling","25","25","13","5","13","13","13","25","25","25","25"
"Ryan Callinan","13","25","25","13","25","25","25","25","13","25","9"
"Alex Ribeiro","25","25","25","25","25","25","13","5","25","25","13"
"Leonardo Fioravanti","NA","NA","5","13","NA","NA","NA","NA","13","NA","NA"
"Tanner Gudauskas","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA"
"Bede Durbidge","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13"
"Taj Burrow","13","25","13","NA","13","NA","NA","NA","NA","NA","NA"
"Brett Simpson","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA"
"Bruno Santos","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA"
"Owen Wright","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mason Ho","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Frederico Morais","NA","NA","NA","NA","NA","NA","NA","NA","NA","13","25"
"Mikey Wright","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deivid Silva","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
"Lucas Silveira","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
"Marco Fernandez","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
"Bino Lopes","NA","NA","NA","25","NA","NA","NA","NA","NA","NA","NA"
"Joan Duru","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA"
"Jay Davies","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA"
"Wade Carmichael","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Hira Teriinatoofa","NA","NA","NA","NA","NA","NA","25","NA","NA","NA","NA"
"Tevita Gukilau","NA","NA","NA","NA","25","NA","NA","NA","NA","NA","NA"
"Miguel Blanco","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","NA"
"Steven Sawyer","NA","NA","NA","NA","NA","25","NA","NA","NA","NA","NA"
"Bruce Irons","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Gavin Beschen","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Timothee Bisso","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Finn McGill","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Jacob Willcox","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA"
"Jack Robinson","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA"
"Tim Stevenson","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA"
