"","GoldCoast","MargaretRiver","BellsBeach","Rio","Fiji","Jbay","Tahiti","Trestles","France","Portugal","Pipeline"
"John John Florence",NA,"3","1","3","13","13","5","5","3","3","5"
"Gabriel Medina",NA,"3","25","13","9","13","3","2","13","1","1"
"Jordy Smith",NA,"9","5","1","5","13","5","3","2","13","13"
"Julian Wilson",NA,"13","9","13","9","5","3","1","9","25","2"
"Owen Wright",NA,"1","5","9","5","13","9","5","25","9","25"
"Matt Wilkinson",NA,"2","25","13","3","1","5","9","25","13","13"
"Adriano de Souza",NA,"9","5","5","1","13","13","13","5","13","13"
"Kolohe Andino",NA,"9","2","13","25","13","25","3","25","3","3"
"Filipe Toledo",NA,"25","3","5","13","NA","1","25","1","25","25"
"Sebastian Zietz",NA,"13","9","9","13","9","25","13","9","2","5"
"Joel Parkinson",NA,"5","13","9","5","3","13","13","25","5","13"
"Mick Fanning",NA,"13","25","5","5","13","5","13","13","5","5"
"Frederico Morais",NA,"13","25","5","13","13","2","25","5","13","9"
"Connor O'Leary",NA,"5","13","13","13","2","13","9","25","25","9"
"Adrian Buchan",NA,"25","13","13","2","25","25","9","3","13","13"
"Michel Bourez",NA,"25","5","13","25","3","9","13","25","13","13"
"Joan Duru",NA,"25","25","13","25","5","9","5","13","9","25"
"Caio Ibelli",NA,"13","13","2","13","NA","13","25","25","9","13"
"Jeremy Flores",NA,"13","9","13","13","13","13","13","5","13","25"
"Kanoa Igarashi",NA,"25","13","25","9","25","25","13","5","25","3"
"Conner Coffin",NA,"9","9","25","25","25","9","9","13","25","13"
"Bede Durbidge",NA,"25","13","13","13","5","13","13","9","13","25"
"Miguel Pupo",NA,"13","13","25","25","13","25","25","13","5","5"
"Wiggolly Dantas",NA,"25","25","9","9","13","25","5","13","25","25"
"Italo Ferreira",NA,"5","NA","NA","NA","9","13","13","13","25","13"
"Leonardo Fioravanti",NA,"25","25","25","25","5","13","25","25","13","9"
"Ian Gouveia",NA,"13","13","25","13","9","25","13","25","13","25"
"Ezekiel Lau",NA,"13","25","3","25","25","13","25","13","25","25"
"Kelly Slater",NA,"5","13","13","NA","13","13","NA","NA","NA","NA"
"Jack Freestone",NA,"25","3","25","25","25","13","25","25","25","13"
"Nat Young",NA,"25","13","13","13","25","NA","13","25","9","25"
"Jadson Andre",NA,"13","25","25","13","25","13","25","9","25","25"
"Josh Kerr",NA,"25","25","25","13","25","25","25","13","25","9"
"Stuart Kennedy",NA,"13","25","25","25","9","25","25","25","13","25"
"Ethan Ewing",NA,"25","25","25","25","25","25","13","13","13","13"
"Yago Dora",NA,"NA","NA","NA","3","25","NA","NA","NA","NA","NA"
"Marc Lacomare",NA,"NA","NA","NA","NA","NA","NA","NA","NA","5","NA"
"Jesse Mendes",NA,"NA","13","NA","25","NA","NA","NA","NA","NA","NA"
"Hiroto Ohhara",NA,"NA","NA","NA","NA","NA","NA","NA","13","NA","NA"
"Vasco Ribeiro",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","13"
"Jacob Willcox",NA,"NA","13","NA","NA","NA","NA","NA","NA","NA","NA"
"Mikey Wright",NA,"13","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Evan Geiselman",NA,"NA","NA","NA","NA","NA","NA","NA","13","NA","NA"
"Bino Lopes",NA,"NA","NA","NA","25","25","NA","NA","NA","NA","NA"
"Keanu Asing",NA,"NA","NA","NA","NA","NA","NA","NA","NA","25","NA"
"Aritz Aranburu",NA,"NA","NA","NA","NA","NA","NA","25","NA","NA","NA"
"Michael February",NA,"NA","NA","NA","NA","NA","25","NA","NA","NA","NA"
"Dale Staples",NA,"NA","NA","NA","NA","NA","25","NA","NA","NA","NA"
"Mason Ho",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Tevita Gukilau",NA,"NA","NA","NA","NA","25","NA","NA","NA","NA","NA"
"Samuel Pupo",NA,"NA","NA","25","NA","NA","NA","NA","NA","NA","NA"
"Glyndyn Ringrose",NA,"NA","NA","25","NA","NA","NA","NA","NA","NA","NA"
"Taumata Puhetini",NA,"NA","NA","NA","NA","NA","NA","25","NA","NA","NA"
