"","GoldCoast","BellsBeach","MargaretRiver","Rio","Fiji","USOpen","Trestles","Cascais","France","Maui"
"Tyler Wright","1","5","1","1","13","3","1","2","2","1"
"Courtney Conlogue","2","1","2","3","5","5","9","1","3","3"
"Carissa Moore","3","3","3","3","2","9","5","5","1","2"
"Tatiana Weston-Webb","5","3","3","5","13","1","9","5","3","5"
"Johanne Defay","3","5","13","5","1","13","5","3","9","13"
"Stephanie Gilmore","5","5","5","5","9","5","2","NA","5","9"
"Malia Manuel","5","9","9","5","9","2","5","5","13","5"
"Sally Fitzgibbons","13","2","5","2","5","9","13","9","9","13"
"Sage Erickson","5","13","9","9","9","5","3","5","5","13"
"Laura Enever","13","13","5","9","5","9","5","9","5","13"
"Nikki Van Dijk","9","9","9","13","5","13","3","13","5","13"
"Bianca Buitendag","9","9","5","13","3","13","13","13","13","5"
"Coco Ho","13","13","13","13","9","9","9","3","9","5"
"Keely Andrew","9","13","13","9","13","5","9","13","13","3"
"Alessa Quizon","13","5","13","13","13","13","13","9","9","9"
"Lakey Peterson","NA","NA","NA","NA","NA","3","13","9","13","9"
"Bronte Macaulay","9","9","9","9","13","NA","NA","NA","13","NA"
"Chelsea Tuach","13","13","13","13","13","13","13","13","13","13"
"Bethany Hamilton","NA","NA","NA","NA","3","NA","13","NA","NA","NA"
"Brisa Hennessy","NA","13","NA","NA","NA","NA","NA","NA","NA","9"
"Silvana Lima","NA","NA","NA","13","NA","NA","NA","NA","NA","NA"
"Meah Collins","NA","NA","NA","NA","NA","13","NA","NA","NA","NA"
"Teresa Bonvalot","NA","NA","NA","NA","NA","NA","NA","13","NA","NA"
"Isabella Nichols","13","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Pauline Ado","NA","NA","NA","NA","NA","NA","NA","13","NA","NA"
"Felicity Palmateer","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
